 ra_target, dec_target, ha_current, ra_current, dec_current, lst_current, epoch_current, utc_current, year_currently,Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),Unnamed: 32
12.32,12.4,-1.630686,12.320179,12.40574,10.689492,2000.0,20.02821,2025.561259,,,0.00012016406465241544,-39.202256288774656,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.62423668647722,56.04829944135874,-24.420636974624127,-20.287224020787555,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.4,-1.630379,12.320219,12.406731,10.68984,2000.0,20.028558,2025.561259,,,0.00011949753131004546,-39.22643787971648,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.62922219156185,56.050877294983586,-24.42065647695554,-20.287244574092654,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.4,-1.63021,12.320224,12.407286,10.690015,2000.0,20.028732,2025.561259,,,0.0001194370837179464,-39.228611108651194,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.63439514627757,56.053554857289754,-24.4206780797392,-20.2872666722685,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.4,-1.62989,12.320252,12.408325,10.690363,2000.0,20.029079,2025.561259,,,0.00011958183173345813,-39.22334940221321,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.6396465690711,56.05627136967707,-24.42069788522032,-20.287286477749618,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.4,-1.629739,12.320276,12.408808,10.690537,2000.0,20.029253,2025.561259,,,0.00011956435828464794,-39.223983356773054,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,125.64820603547426,56.06069721041327,-24.42073198974262,-20.287319360454386,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.31,-1.608842,12.320103,12.310546,10.711261,2000.0,20.04992,2025.561259,,,0.00011967229641641477,-39.220063969665134,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,126.04610363243019,56.26491669297044,-24.42230645528554,-20.28889334972467,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.31,-1.608499,12.320108,12.310626,10.71161,2000.0,20.050268,2025.561259,,,0.00011995974091419275,-39.20964830826587,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,126.05128150634603,56.267553032999416,-24.422326510430988,-20.28891497785541,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.31,-1.608333,12.320117,12.310642,10.711784,2000.0,20.050441,2025.561259,,,0.0001204543045200079,-39.19177779098724,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,126.05656202699173,56.270241636116914,-24.422347040246297,-20.28893372542696,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.31,-1.607999,12.320131,12.310481,10.712132,2000.0,20.050789,2025.561259,,,0.00012061752444468351,-39.18589647985085,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,126.06183555859808,56.27292668073056,-24.422369269527827,-20.288955954708488,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
12.32,12.31,-1.607826,12.320132,12.310424,10.712306,2000.0,20.050962,2025.561259,,,0.00011981704461840039,-39.214816789964864,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,126.06701618687634,56.27556442315675,-24.422387511176694,-20.28897419635736,0.0,10.0,0.0,0.0,325.3699951171875,55.58000183105469,0.0,0.0,
