Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),
2025-07-24,15:56:53.197,0.00011856278433697298,-39.26051712036133,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.10447692871094,55.23961639404297,-24.41452980041504,-20.281116485595703,0,10,0,0,2025-07-24T19:56:53.197Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:54.220,0.00011961123527726158,-39.2222785949707,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.1096420288086,55.2424430847168,-24.41455078125,-20.281139373779297,0,10,0,0,2025-07-24T19:56:54.220Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:55.273,0.00011932920460822061,-39.2325325012207,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.11480712890625,55.245269775390625,-24.41457176208496,-20.281158447265625,0,10,0,0,2025-07-24T19:56:55.273Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:56.300,0.00011928742605959997,-39.23405456542969,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.11997985839844,55.24809265136719,-24.414592742919922,-20.28118133544922,0,10,0,0,2025-07-24T19:56:56.300Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:57.322,0.00011890380847034976,-39.248043060302734,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.1251449584961,55.250919342041016,-24.414613723754883,-20.281200408935547,0,10,0,0,2025-07-24T19:56:57.322Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:58.357,0.00011922058911295608,-39.236488342285156,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.13031005859375,55.25374221801758,-24.414634704589844,-20.28122329711914,0,10,0,0,2025-07-24T19:56:58.357Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:56:59.382,0.0001183288695756346,-39.26909255981445,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.13548278808594,55.256568908691406,-24.414655685424805,-20.28124237060547,0,10,0,0,2025-07-24T19:56:59.382Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:57:00.411,0.00011775938764913008,-39.290042877197266,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.14065551757812,55.25939178466797,-24.414676666259766,-20.281265258789062,0,10,0,0,2025-07-24T19:57:00.411Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:57:01.432,0.00011812430602731183,-39.276607513427734,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.14582061767578,55.2622184753418,-24.414697647094727,-20.28128433227539,0,10,0,0,2025-07-24T19:57:01.432Z,325.3699951171875,55.58000183105469,0,0,
2025-07-24,15:57:02.455,0.00011867007560795173,-39.256587982177734,,,,,,2.7253758907318115,,,,,,12.513728141784668,12.391121864318848,283.8457946777344,74.49114990234375,124.15099334716797,55.26504135131836,-24.414718627929688,-20.281307220458984,0,10,0,0,2025-07-24T19:57:02.455Z,325.3699951171875,55.58000183105469,0,0,
