Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),Unnamed: 32
2025-07-08,12:07:22.348,0.0001264557649847,-38.97626241048177,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,187.32232666015625,76.73957824707031,11.12144374847412,-1.0554189682006836,0,10,0,0,2025-07-08T16:07:22.348Z,187.2899932861328,77.0999984741211,0.0,0.3600000143051147,
2025-07-08,12:07:36.898,0.0001271687215194,-38.986428578694664,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,187.5570373535156,76.73339080810547,11.121158599853516,-1.055704116821289,0,10,0,0,2025-07-08T16:07:36.898Z,187.33999633789065,77.0999984741211,-0.1800000071525573,0.3600000143051147,
2025-07-08,12:07:49.270,0.00012525562488,-39.02163314819336,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,187.7748107910156,76.72747039794922,11.120893478393556,-1.05596923828125,0,10,0,0,2025-07-08T16:07:49.270Z,187.3800048828125,77.08999633789062,-0.3600000143051147,0.3600000143051147,
2025-07-08,12:08:05.848,0.0001330005616182,-38.77379862467448,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,188.0425720214844,76.71995544433594,11.120566368103027,-1.0562963485717771,0,10,0,0,2025-07-08T16:08:05.848Z,187.69000244140625,76.9000015258789,-0.3600000143051147,0.1800000071525573,
2025-07-08,12:08:20.362,0.0001364274212392,-38.6358388264974,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,188.2933349609375,76.71268463134766,11.120259284973145,-1.0566034317016602,0,10,0,0,2025-07-08T16:08:20.362Z,187.9199981689453,76.70999908447266,-0.3600000143051147,0.0,
2025-07-08,12:08:40.067,0.0001314070541411,-38.8125966389974,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,188.62728881835935,76.70263671875,11.11985206604004,-1.0570106506347656,0,10,0,0,2025-07-08T16:08:40.067Z,188.2599945068359,76.5199966430664,-0.3600000143051147,-0.1800000071525573,
2025-07-08,12:08:54.514,0.0001246566389454,-39.04202016194662,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,188.8607635498047,76.69537353515625,11.119565963745115,-1.0572967529296875,0,10,0,0,2025-07-08T16:08:54.514Z,188.5,76.33999633789062,-0.3600000143051147,-0.3600000143051147,
2025-07-08,12:08:59.654,0.0001246361935045,-39.04293314615885,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,188.944091796875,76.69273376464844,11.119463920593262,-1.057398796081543,0,10,0,0,2025-07-08T16:08:59.654Z,188.72999572753903,76.33000183105469,-0.1800000071525573,-0.3600000143051147,
2025-07-08,12:09:04.805,0.000125321545056,-39.016215006510414,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,189.0273895263672,76.69007110595703,11.119361877441406,-1.0575008392333984,0,10,0,0,2025-07-08T16:09:04.805Z,188.97999572753903,76.33000183105469,0.0,-0.3600000143051147,
2025-07-08,12:09:09.979,0.0001266641920665,-38.98758061726888,,,,,,2.7304608821868896,,,,,,5.5755391120910645,22.01449966430664,184.6255340576172,-5.78435754776001,189.12730407714844,76.68683624267578,11.119239807128906,-1.0576229095458984,0,10,0,0,2025-07-08T16:09:09.979Z,189.22000122070312,76.33000183105469,0.1800000071525573,-0.3600000143051147,
