Date,Time,Power (FFT),Power (dBFS),Power (dBm),Tsys (K),Tsys0 (K),Tsource (K),Tb (K),Tsky (K),Sν (Jy),σTsys (K),σSsys (Jy),ΩA (sr),ΩS (sr),RA,Dec,l,b,Az,El,Vbcrs,Vlsr,Solar Flux (Jy),Air Temp (C),Sensor 1,Sensor 2,UTC,Az (Rot),El (Rot),Az Off (Rot),El Off (Rot),Unnamed: 32,X (Rot),Y (Rot),X (Target),Y (Target),X_offset,Y_offset
2025-07-03,14:11:52.513,0.0004827513475902,-33.153245290120445,,,,,,19.484230041503903,,,,,,6.874269485473633,22.888465881347656,192.5086669921875,10.427570343017578,224.38088989257812,72.780517578125,-0.2643541693687439,-11.972733497619627,0,10,0,0,2025-07-03T18:11:52.513Z,179.50999450683594,77.08000183105469,-0.8690000176429749,0.1000000014901161,,0.11240473924325554,-12.919517511438517,-12.230714618106155,-12.21475287973636,13.052577215505515,1.270762405663211
2025-07-03,14:11:55.585,0.0004876806924585,-33.148484547932945,,,,,,19.484230041503903,,,,,,6.874271869659424,22.88846206665039,192.50868225097656,10.42759895324707,224.4115447998047,72.7734375,-0.2644277215003967,-11.972806930541992,0,10,0,0,2025-07-03T18:11:55.585Z,179.50999450683594,77.18000030517578,-0.8730000257492065,0.2000000029802322,,0.11150490117510929,-12.81952288514625,-12.242384947357124,-12.213199542347875,13.052577215505515,1.270762405663211
2025-07-03,14:11:56.609,0.0004881435597781,-33.130194346110024,,,,,,19.484230041503903,,,,,,6.874272346496582,22.88846206665039,192.50868225097656,10.427608489990234,224.4217529296875,72.77107238769531,-0.2644522190093994,-11.972829818725586,0,10,0,0,2025-07-03T18:11:56.609Z,179.9499969482422,77.18000030517578,-0.4329999983310699,0.2000000029802322,,0.011378769519441919,-12.819994729596031,-12.246276995393837,-12.212685490709458,13.052577215505515,1.270762405663211
2025-07-03,14:11:57.633,0.0004888467956334,-33.11381403605143,,,,,,19.484230041503903,,,,,,6.874273300170898,22.88846015930176,192.50868225097656,10.427618026733398,224.4319610595703,72.76871490478516,-0.2644767463207245,-11.972854614257812,0,10,0,0,2025-07-03T18:11:57.633Z,180.38999938964844,77.18000030517578,0.006000000052154,0.2000000029802322,,-0.08874810268795874,-12.819697649483956,-12.250163634891894,-12.212165124871307,13.052577215505515,1.270762405663211
2025-07-03,14:11:58.657,0.0004890685668215,-33.109700520833336,,,,,,19.484230041503903,,,,,,6.874274253845215,22.88846015930176,192.5086975097656,10.427627563476562,224.44216918945312,72.76634979248047,-0.2645012438297272,-11.972878456115724,0,10,0,0,2025-07-03T18:11:58.657Z,180.8300018310547,77.18000030517578,0.4460000097751617,0.1990000009536743,,-0.1888691990369322,-12.818631665051683,-12.25405604706315,-12.211649093701103,13.052577215505515,1.270762405663211
2025-07-03,14:11:59.681,0.0004898770712316,-33.10456848144531,,,,,,19.484230041503903,,,,,,6.874274730682373,22.888458251953125,192.5086975097656,10.427637100219728,224.4523773193359,72.76399230957031,-0.2645257711410522,-11.972902297973633,0,10,0,0,2025-07-03T18:11:59.681Z,181.2599945068359,77.18000030517578,0.8849999904632568,0.1969999969005584,,-0.28670077878171785,-12.816847135228562,-12.257943048190114,-12.211126750199673,13.052577215505515,1.270762405663211
2025-07-03,14:12:00.705,0.0004844967916142,-33.11750793457031,,,,,,19.484230041503903,,,,,,6.8742756843566895,22.888458251953125,192.5087127685547,10.42764663696289,224.4625701904297,72.76162719726562,-0.2645502686500549,-11.972926139831545,0,10,0,0,2025-07-03T18:12:00.705Z,181.25,77.08000183105469,0.875,0.0970000028610229,,-0.28672229271774646,-12.916870383329194,-12.261832596764407,-12.210611979855013,13.052577215505515,1.270762405663211
2025-07-03,14:12:02.753,0.0004800730675924,-33.15892791748047,,,,,,19.484230041503903,,,,,,6.874277114868164,22.888456344604492,192.5087127685547,10.42766571044922,224.48297119140625,72.75689697265625,-0.2645993232727051,-11.97297477722168,0,10,0,0,2025-07-03T18:12:02.753Z,181.25,76.9800033569336,0.8650000095367432,-0.003000000026077,,-0.2890194076235981,-13.016843798661728,-12.269615466081923,-12.20957623089908,13.052577215505515,1.270762405663211
2025-07-03,14:12:04.801,0.000484333053464,-33.16340128580729,,,,,,19.484230041503903,,,,,,6.874279022216797,22.88845443725586,192.50872802734375,10.427684783935549,224.50335693359375,72.75216674804688,-0.2646483480930328,-11.973023414611816,0,10,0,0,2025-07-03T18:12:04.801Z,181.2400054931641,76.87999725341797,0.8550000190734863,-0.1030000001192092,,-0.28898968853555884,-13.11687543466075,-12.277395834779021,-12.20853976798639,13.052577215505515,1.270762405663211
2025-07-03,14:12:06.849,0.0004858660104218,-33.13788350423177,,,,,,19.484230041503903,,,,,,6.8742804527282715,22.888452529907227,192.5087432861328,10.427703857421877,224.5237274169922,72.7474365234375,-0.2646973729133606,-11.973071098327637,0,10,0,0,2025-07-03T18:12:06.849Z,181.22000122070312,76.77999877929688,0.8450000286102295,-0.2029999941587448,,-0.28657400952393663,-13.216950083398942,-12.28517370192314,-12.207502596599651,13.052577215505515,1.270762405663211
